Longitude,Latitude,month,year,Sample Depth [m],Temp,Salinity,d18O,dD,notes,Citation
-48.73471,-48.89420,3,2011,45.000,7.85600,33.963001,-0.29000,-2.75000,,Geotraces Rijkenberg et al. (2011)
-48.73471,-48.89420,3,2011,3004.000,1.28000,34.726002,-0.29000,-2.83000,,Geotraces Rijkenberg et al. (2011)
-44.02579,-42.37130,3,2011,2503.000,2.39600,34.821999,-0.29000,-2.78000,,Geotraces Rijkenberg et al. (2011)
-39.4368,-35.00880,3,2011,1001.000,3.95000,34.255001,-0.29000,-2.85000,,Geotraces Rijkenberg et al. (2011)
-37.45929,-32.08940,3,2011,752.000,5.82800,34.327000,-0.29000,-0.40000,,Geotraces Rijkenberg et al. (2011)
-32.74438,-22.47150,3,2011,4002.000,1.36900,34.782001,-0.29000,-1.22000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,500.000,2.38600,34.207001,-0.28000,-2.01000,,Geotraces Rijkenberg et al. (2011)
-48.73471,-48.89420,3,2011,248.000,3.29500,34.062000,-0.28000,-1.60000,,Geotraces Rijkenberg et al. (2011)
-44.02579,-42.37130,3,2011,400.000,4.44300,34.159000,-0.28000,-2.17000,,Geotraces Rijkenberg et al. (2011)
-42.4166,-39.96320,3,2011,1499.000,2.95300,34.626999,-0.28000,0.07000,,Geotraces Rijkenberg et al. (2011)
-42.4166,-39.96320,3,2011,2000.000,3.05900,34.820000,-0.28000,0.31000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,599.000,2.69000,34.323002,-0.27000,-2.92000,,Geotraces Rijkenberg et al. (2011)
-48.73471,-48.89420,3,2011,75.000,6.08700,33.980000,-0.27000,-2.74000,,Geotraces Rijkenberg et al. (2011)
-41.13089,-37.83980,3,2011,500.000,8.84700,34.617001,-0.27000,-0.82000,,Geotraces Rijkenberg et al. (2011)
-39.4368,-35.00880,3,2011,1749.000,2.98200,34.695000,-0.27000,-2.04000,,Geotraces Rijkenberg et al. (2011)
-35.79599,-29.05790,3,2011,3251.000,2.40200,34.889999,-0.27000,-0.96000,,Geotraces Rijkenberg et al. (2011)
-34.27911,-26.08910,3,2011,1499.000,3.27700,34.748001,-0.27000,-0.26000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,10.000,10.19100,33.971001,-0.26000,-1.78000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,25.000,9.71400,33.991001,-0.26000,-2.11000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,51.000,9.02900,34.000000,-0.26000,-2.16000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,300.000,2.79700,34.094002,-0.26000,-1.80000,,Geotraces Rijkenberg et al. (2011)
-48.73471,-48.89420,3,2011,298.000,2.99300,34.053001,-0.26000,-2.36000,,Geotraces Rijkenberg et al. (2011)
-48.73471,-48.89420,3,2011,4499.000,0.35400,34.675999,-0.26000,-2.08000,,Geotraces Rijkenberg et al. (2011)
-45.5361,-44.70680,3,2011,5048.000,0.26700,34.668999,-0.26000,-3.06000,,Geotraces Rijkenberg et al. (2011)
-44.02579,-42.37130,3,2011,8.000,17.13300,34.527000,-0.26000,-0.39000,,Geotraces Rijkenberg et al. (2011)
-39.4368,-35.00880,3,2011,2500.000,3.04800,34.903000,-0.26000,-2.55000,,Geotraces Rijkenberg et al. (2011)
-39.4368,-35.00880,3,2011,3501.000,1.80800,34.805000,-0.26000,-2.33000,,Geotraces Rijkenberg et al. (2011)
-35.79599,-29.05790,3,2011,3786.000,1.42800,34.787998,-0.26000,-2.70000,,Geotraces Rijkenberg et al. (2011)
-28,-9.15415,3,2011,750.000,4.81500,34.472000,-0.26000,-2.36000,,Geotraces Rijkenberg et al. (2011)
-28.46011,-5.67700,3,2011,750.000,4.99700,34.480000,-0.26000,-1.37000,,Geotraces Rijkenberg et al. (2011)
-28.9169,-2.65115,3,2011,4501.000,0.97500,34.741001,-0.26000,-2.61000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,200.000,3.30400,34.055000,-0.25000,-1.56000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,1248.000,2.29300,34.615002,-0.25000,-1.59000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,2248.000,1.34100,34.717999,-0.25000,-1.35000,,Geotraces Rijkenberg et al. (2011)
-48.73471,-48.89420,3,2011,400.000,2.89500,34.113998,-0.25000,-2.74000,,Geotraces Rijkenberg et al. (2011)
-47.19958,-46.92000,3,2011,4500.000,0.52500,34.683998,-0.25000,-1.83000,,Geotraces Rijkenberg et al. (2011)
-41.13089,-37.83980,3,2011,1999.000,2.90500,34.743999,-0.25000,-1.22000,,Geotraces Rijkenberg et al. (2011)
-34.27911,-26.08910,3,2011,3500.000,2.31900,34.882999,-0.25000,-0.40000,,Geotraces Rijkenberg et al. (2011)
-29.22729,-12.89400,3,2011,749.000,4.54500,34.435001,-0.25000,-2.13000,,Geotraces Rijkenberg et al. (2011)
-28,-9.15415,3,2011,5001.000,0.79900,34.716999,-0.25000,-2.29000,,Geotraces Rijkenberg et al. (2011)
-48.73471,-48.89420,3,2011,4001.000,0.54000,34.687000,-0.24000,-2.01000,,Geotraces Rijkenberg et al. (2011)
-45.5361,-44.70680,3,2011,199.000,7.25700,34.421001,-0.24000,-1.09000,,Geotraces Rijkenberg et al. (2011)
-45.5361,-44.70680,3,2011,2002.000,2.65300,34.792000,-0.24000,-1.54000,,Geotraces Rijkenberg et al. (2011)
-44.02579,-42.37130,3,2011,1250.000,2.75700,34.516998,-0.24000,-1.73000,,Geotraces Rijkenberg et al. (2011)
-42.4166,-39.96320,3,2011,1751.000,3.17700,34.757000,-0.24000,0.06000,,Geotraces Rijkenberg et al. (2011)
-39.4368,-35.00880,3,2011,1501.000,2.92200,34.540001,-0.24000,-2.41000,,Geotraces Rijkenberg et al. (2011)
-34.27911,-26.08910,3,2011,2502.000,3.01400,34.932999,-0.24000,-0.88000,,Geotraces Rijkenberg et al. (2011)
-32.74438,-22.47150,3,2011,2501.000,3.03100,34.936001,-0.24000,-1.79000,,Geotraces Rijkenberg et al. (2011)
-29.22729,-12.89400,3,2011,998.000,4.02600,34.529999,-0.24000,-0.95000,,Geotraces Rijkenberg et al. (2011)
-28.46011,-5.67700,3,2011,4000.000,1.82900,34.837002,-0.24000,-0.45000,,Geotraces Rijkenberg et al. (2011)
-48.73471,-48.89420,3,2011,746.000,2.89500,34.372002,-0.23000,-2.93000,,Geotraces Rijkenberg et al. (2011)
-45.5361,-44.70680,3,2011,4499.000,0.29900,34.674000,-0.23000,-2.63000,,Geotraces Rijkenberg et al. (2011)
