Longitude,Latitude,month,year,Sample Depth (m),Temp,Salinity,d18O,dD,notes,Citation
-128.933,70.92,7,2004,30.3,-0.99,32.13,-2.49,-99.9,,Lansard et al (2012)
-128.30499,71.11,7,2004,1.8,5.40,29.30,-3.79,-99.9,,Lansard et al (2012)
-128.30499,71.11,7,2004,4.9,3.99,29.23,-3.73,-99.9,,Lansard et al (2012)
-128.30499,71.11,7,2004,9.7,3.68,29.99,-3.69,-99.9,,Lansard et al (2012)
-128.30499,71.11,7,2004,14.8,2.64,30.42,-3.62,-99.9,,Lansard et al (2012)
-128.30499,71.11,7,2004,38.6,-0.45,31.94,-2.44,-99.9,,Lansard et al (2012)
-128.30499,71.11,7,2004,46.8,-1.17,32.19,-2.29,-99.9,,Lansard et al (2012)
-127.69901,71.31,7,2004,1.3,2.08,27.52,-3.36,-99.9,,Lansard et al (2012)
-127.69901,71.31,7,2004,4.9,1.32,28.17,-3.40,-99.9,,Lansard et al (2012)
-127.69901,71.31,7,2004,9.8,0.00,29.19,-3.31,-99.9,,Lansard et al (2012)
-127.69901,71.31,7,2004,19.8,0.56,30.20,-3.20,-99.9,,Lansard et al (2012)
-127.69901,71.31,7,2004,24.7,-0.98,30.41,-3.15,-99.9,,Lansard et al (2012)
-127.69901,71.31,7,2004,56.7,-1.21,31.91,-2.15,-99.9,,Lansard et al (2012)
-127.69901,71.31,7,2004,74.1,-1.34,32.33,-2.04,-99.9,,Lansard et al (2012)
-127.69901,71.31,7,2004,98.9,-1.45,32.65,-1.83,-99.9,,Lansard et al (2012)
