Longitude,Latitude,month,year,Sample Depth (m),Temp,Salinity,d18O,dD,notes,Citation
26.4887,-54.0029,1,2009,0,0.576,33.9684,-0.375556195,-99.9,,Brown et al. (2014)
2.8575,-58.8172,1,2009,0,-0.7635,33.8654,-0.375476388,-99.9,,Brown et al. (2014)
2.8575,-58.8172,1,2009,0,-0.38,34.6453,-0.375126904,-99.9,,Brown et al. (2014)
-56.69307827,-61.39276161,3,2010,75.11996221,0.4258,34.19551871,-0.37,-99.9,,Brown et al. (2014)
-47.69576,-60.12625712,3,2010,53.03299272,0.3355,34.2464131,-0.37,-99.9,,Brown et al. (2014)
-43.99973158,-60.92015,3,2010,50.96342707,-0.1481,33.9332525,-0.37,-99.9,,Brown et al. (2014)
-42.16996518,-60.64009346,4,2010,56.38149226,0.0189,34.18825733,-0.37,-99.9,,Brown et al. (2014)
-42.18994477,-60.65001119,4,2010,2.6543348,-0.3531,33.79816753,-0.37,-99.9,,Brown et al. (2014)
-33.07088092,-59.86022363,4,2010,0,-0.06,34.0568647,-0.37,-99.9,,Brown et al. (2014)
-21.28365219,-61.63117076,4,2010,0,-1.6895,34.40594769,-0.37,-99.9,,Brown et al. (2014)
29.9954,-60.9973,2,2008,0,-0.8925,34.0707,-0.37,-99.9,,Brown et al. (2014)
30,-67,3,2008,0,-1.7008,34.3792,-0.37,-99.9,,Brown et al. (2014)
11.8957,-57.8961,1,2009,0,-1.7254,33.9423,-0.366585592,-99.9,,Brown et al. (2014)
22.2473,-56.2449,1,2009,0,-1.4398,34.0986,-0.366391842,-99.9,,Brown et al. (2014)
2.8575,-58.8172,1,2009,0,-0.3588,34.6452,-0.362525626,-99.9,,Brown et al. (2014)
-16.08,-61.33,1,2009,0,-0.6372,33.9132,-0.361406051,-99.9,,Brown et al. (2014)
-9.04,-60.4008,1,2009,0,-0.4262,34.6443,-0.360983469,-99.9,,Brown et al. (2014)
-56.67029959,-62.17087077,3,2010,204.9595982,-0.8203,34.40840255,-0.36,-99.9,,Brown et al. (2014)
