Longitude,Latitude,month,year,Sample Depth [m],Temp,Salinity,d18O,dD,notes,Citation
-21.99799,24.00220,10,2010,2222.300,3.58000,35.009998,0.41000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,52.100,18.97000,36.090000,0.41000,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,1628.900,8.23000,35.790001,0.42000,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,86.600,15.23000,35.669998,0.44000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,446.900,10.59000,35.310001,0.44000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,594.800,8.85000,35.110001,0.44000,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,2222.800,3.38000,34.970001,0.44000,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,1068.700,5.93000,34.959999,0.45000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,1040.700,10.11000,35.939999,0.45000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,1188.900,8.20000,35.560001,0.45500,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,140.700,13.87000,35.580002,0.46000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,2079.300,4.15000,35.099998,0.46000,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,1776.300,6.12000,35.419998,0.47000,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,1266.100,5.30000,35.009998,0.47000,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,2962.800,2.79000,34.939999,0.47000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,1683.800,5.63000,35.310001,0.48000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,1881.000,4.72000,35.180000,0.48000,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,185.000,12.93000,35.410000,0.49000,-99.9,,Geotraces Jenkins et al. (2010)
-21.99799,24.00220,10,2010,4586.200,2.40000,34.889999,0.50000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,150.300,13.71000,35.529999,0.50000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,659.500,8.52000,35.049999,0.50000,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,101.000,14.51000,35.580002,0.50500,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,416.700,12.39000,35.770000,0.51000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,298.600,12.68000,35.580002,0.52000,-99.9,,Geotraces Jenkins et al. (2010)
