  -2.00 73.50 51997 1800 -0.89 34.91  0.29 -99.9                                                 Risebrobakken et al (2003)
  -2.00 73.50 51997 2000 -0.93 34.91  0.19 -99.9                                                 Risebrobakken et al (2003)
  -2.00 73.50 51997 2500 -0.99 34.90  0.27 -99.9                                                 Risebrobakken et al (2003)
  -2.00 73.50 51997 2652 -1.00 34.90  0.28 -99.9                                                 Risebrobakken et al (2003)
  -2.00 74.00 51997   10 -1.70 34.74  0.26 -99.9                                                 Risebrobakken et al (2003)
  -2.00 74.00 51997  100 -1.56 34.81  0.30 -99.9                                                 Risebrobakken et al (2003)
  -2.00 74.00 51997  200 -0.72 34.88  0.47 -99.9                                                 Risebrobakken et al (2003)
  -2.00 74.00 51997  300 -0.78 34.87  0.35 -99.9                                                 Risebrobakken et al (2003)
  -2.00 74.00 51997  400 -0.84 34.87  0.26 -99.9                                                 Risebrobakken et al (2003)
  -2.00 74.00 51997  500 -0.79 34.88  0.35 -99.9                                                 Risebrobakken et al (2003)
  -2.00 74.00 51997  600 -0.83 34.88  0.31 -99.9                                                 Risebrobakken et al (2003)
  -2.00 74.00 51997  700 -0.87 34.88  0.24 -99.9                                                 Risebrobakken et al (2003)
  -2.00 74.00 51997  800 -0.89 34.88  0.25 -99.9                                                 Risebrobakken et al (2003)
  -2.00 74.00 51997  900 -0.88 34.88  0.33 -99.9                                                 Risebrobakken et al (2003)
  -2.00 74.00 51997 1050 -0.89 34.88  0.38 -99.9                                                 Risebrobakken et al (2003)
  -2.00 74.00 51997 1200 -0.81 34.90  0.34 -99.9                                                 Risebrobakken et al (2003)
  -2.00 74.00 51997 1400 -0.81 34.90  0.25 -99.9                                                 Risebrobakken et al (2003)
  -2.00 74.00 51997 1600 -0.86 34.90  0.33 -99.9                                                 Risebrobakken et al (2003)
  -2.00 74.00 51997 1800 -0.91 34.90  0.36 -99.9                                                 Risebrobakken et al (2003)
  -2.00 74.00 51997 2000 -0.93 34.90  0.25 -99.9                                                 Risebrobakken et al (2003)
  -2.00 74.00 51997 2500 -0.97 34.90  0.40 -99.9                                                 Risebrobakken et al (2003)
  -2.00 74.00 51997 3000 -0.99 34.90  0.28 -99.9                                                 Risebrobakken et al (2003)
  -2.04 74.55 51997   10 -1.42 34.82  0.26 -99.9                                                 Risebrobakken et al (2003)
  -2.04 74.55 51997   50 -1.51 34.82  0.22 -99.9                                                 Risebrobakken et al (2003)
  -2.04 74.55 51997  150 -1.49 34.83  0.37 -99.9                                                 Risebrobakken et al (2003)
  -2.04 74.55 51997  200 -1.44 34.83  0.25 -99.9                                                 Risebrobakken et al (2003)
  -2.04 74.55 51997  300 -1.03 34.86  0.32 -99.9                                                 Risebrobakken et al (2003)
  -2.04 74.55 51997  400 -0.97 34.86  0.22 -99.9                                                 Risebrobakken et al (2003)
  -2.04 74.55 51997  500 -1.00 34.86  0.30 -99.9                                                 Risebrobakken et al (2003)
  -2.04 74.55 51997  600 -1.06 34.86  0.35 -99.9                                                 Risebrobakken et al (2003)
  -2.04 74.55 51997  700 -0.90 34.88  0.38 -99.9                                                 Risebrobakken et al (2003)
  -2.04 74.55 51997  800 -0.89 34.88  0.35 -99.9                                                 Risebrobakken et al (2003)
  -2.04 74.55 51997 1000 -0.89 34.88  0.28 -99.9                                                 Risebrobakken et al (2003)
  -2.04 74.55 51997 1200 -0.88 34.88  0.28 -99.9                                                 Risebrobakken et al (2003)
  -2.04 74.55 51997 1400 -0.79 34.90  0.27 -99.9                                                 Risebrobakken et al (2003)
